id,name,team,league,country,tier,city,lat,lon,capacity,opened,surface,source
newcastle-united,St James' Park,Newcastle United,Premier League,United Kingdom,1,Newcastle upon Tyne,54.975555555556,-1.6216666666667,52305,1892,,https://www.wikidata.org/wiki/Q191774
borussia-dortmund,Signal Iduna Park,Borussia Dortmund,Bundesliga,Germany,1,Dortmund,51.4925,7.451667,81359,1971,,https://www.wikidata.org/wiki/Q150928
brentford,Gtech Community Stadium,Brentford,Premier League,United Kingdom,1,London,51.490825,-0.2887,20000,2020,,https://www.wikidata.org/wiki/Q4961609
milan,San Siro,Milan,Serie A,Italy,1,Milan,45.47444444,9.14027778,,,,https://www.wikidata.org/wiki/Q1149910
afc-bournemouth,Vitality Stadium,AFC Bournemouth,Premier League,United Kingdom,1,Bournemouth,50.735278,-1.838333,12000,1910,,https://www.wikidata.org/wiki/Q619094
benfica,Estádio da Luz,Benfica,Primeira Liga,Portugal,1,Lisbon,38.75277777777778,-9.184722222222222,68100,2003,,https://www.wikidata.org/wiki/Q7875112
porto,Estádio do Dragão,Porto,Primeira Liga,Portugal,1,Porto,41.161758,-8.583933,50033,2003,,https://www.wikidata.org/wiki/Q271454
everton,Hill Dickinson Stadium,Everton,Premier League,United Kingdom,1,Liverpool,53.4250789,-3.0027851,52769,2021,,https://www.wikidata.org/wiki/Q29347805
napoli,Stadio Diego Armando Maradona,Napoli,Serie A,Italy,1,Naples,40.827967,14.193008,76000,1952,,https://www.wikidata.org/wiki/Q82709
bayer-leverkusen,BayArena,Bayer Leverkusen,Bundesliga,Germany,1,Leverkusen,51.038255555556,7.0022055555556,30210,1958,,https://www.wikidata.org/wiki/Q156630
juventus,Allianz Stadium,Juventus,Serie A,Italy,1,Turin,45.109594,7.641247,41689,2009,,https://www.wikidata.org/wiki/Q62149
fulham,Craven Cottage,Fulham,Premier League,United Kingdom,1,London,51.475,-0.22166666666667,25700,1780,,https://www.wikidata.org/wiki/Q318043
atalanta,Gewiss Stadium,Atalanta,Serie A,Italy,1,Bergamo,45.708889,9.680833,24950,1927,,https://www.wikidata.org/wiki/Q780526
crystal-palace,Selhurst Park,Crystal Palace,Premier League,United Kingdom,1,London,51.398333333333,-0.085555555555556,26255,1924,,https://www.wikidata.org/wiki/Q1066373
como,Stadio Giuseppe Sinigaglia,Como,Serie A,Italy,1,Como,45.81388889,9.07222222,13602,1927,,https://www.wikidata.org/wiki/Q115372
roma,Stadio Olimpico,Roma,Serie A,Italy,1,Rome,41.93388888888889,12.454722222222223,70634,1928,,https://www.wikidata.org/wiki/Q159884
union-saint-gilloise,Stade Joseph Marien,Union Saint-Gilloise,Belgian Pro League,Belgium,1,Brussels,50.8178,4.32917,5100,,,https://www.wikidata.org/wiki/Q3495665
nottingham-forest,City Ground,Nottingham Forest,Premier League,United Kingdom,1,Nottingham,52.94,-1.132778,30404,,,https://www.wikidata.org/wiki/Q593446
bod-glimt,Aspmyra Stadion,Bodø / Glimt,Eliteserien,Norway,1,Bodø,67.2775,14.384166666667,7354,1966,,https://www.wikidata.org/wiki/Q376674
club-brugge,Jan Breydel Stadium,Club Brugge,Belgian Pro League,Belgium,1,Bruges,51.193269,3.181311,29062,1975,,https://www.wikidata.org/wiki/Q1070150
galatasaray,RAMS Park,Galatasaray,Super Lig,Turkey,1,Istanbul,41.10338888888889,28.991,52652,,,https://www.wikidata.org/wiki/Q81492
villarreal,Estadio de la Cerámica,Villarreal,La Liga,Spain,1,Villarreal,39.944167,-0.103611,24891,1923,,https://www.wikidata.org/wiki/Q741157
lens,Stade Bollaert-Delelis,Lens,Ligue 1,France,1,Lens,50.4329,2.81491,38058,,,https://www.wikidata.org/wiki/Q854122
tottenham-hotspur,Tottenham Hotspur Stadium,Tottenham Hotspur,Premier League,United Kingdom,1,London,51.604444444444,-0.066388888888889,62850,,,https://www.wikidata.org/wiki/Q55074091
stuttgart,MHPArena,Stuttgart,Bundesliga,Germany,1,Stuttgart,48.792222,9.231944,60058,1933,,https://www.wikidata.org/wiki/Q152349
rb-leipzig,Red Bull Arena,RB Leipzig,Bundesliga,Germany,1,Leipzig,51.345833,12.348056,42000,,,https://www.wikidata.org/wiki/Q210466
psv,Philips Stadion,PSV,Eredivisie,Netherlands,1,Eindhoven,51.4417,5.4674,36500,1910,,https://www.wikidata.org/wiki/Q500972
monaco,Stade Louis II,Monaco,Ligue 1,Monaco,1,Monaco,43.727778,7.415556,18523,1981,,https://www.wikidata.org/wiki/Q318851
leeds-united,Elland Road,Leeds United,Premier League,United Kingdom,1,Leeds,53.777777777778,-1.5722222222222,37890,1897,,https://www.wikidata.org/wiki/Q619505
celta-de-vigo,Abanca Balaídos,Celta de Vigo,La Liga,Spain,1,Vigo,42.211861,-8.740328,22803,,,https://www.wikidata.org/wiki/Q1326578
real-betis,Estadio Benito Villamarín,Real Betis,La Liga,Spain,1,Seville,37.356403,-5.981611,60721,1929,,https://www.wikidata.org/wiki/Q126844
sunderland,Stadium of Light,Sunderland,Premier League,United Kingdom,1,Sunderland,54.91442906944445,-1.3881729694444445,48339,,,https://www.wikidata.org/wiki/Q31969
olympique-marseille,Stade Vélodrome,Olympique Marseille,Ligue 1,France,1,Marseille,43.269241,5.394907,67394,1935,,https://www.wikidata.org/wiki/Q202150
olympique-lyonnais,Groupama Stadium,Olympique Lyonnais,Ligue 1,France,1,Décines-Charpieu,45.765224,4.982131,59286,2012,,https://www.wikidata.org/wiki/Q8507
west-ham-united,London Stadium,West Ham United,Premier League,United Kingdom,1,London,51.538611111111,-0.016388888888889,62500,2008,,https://www.wikidata.org/wiki/Q172190
lazio,Stadio Olimpico,Lazio,Serie A,Italy,1,Rome,41.93388888888889,12.454722222222223,70634,1928,,https://www.wikidata.org/wiki/Q159884
flamengo,Maracanã,Flamengo,Brasileirão,Brazil,1,Rio de Janeiro,-22.9098,-43.2339,,,,https://www.wikidata.org/wiki/Q10275958
strasbourg,Stade de la Meinau,Strasbourg,Ligue 1,France,1,Strasbourg,48.55942,7.75738,26109,1914,,https://www.wikidata.org/wiki/Q374883
real-sociedad,Reale Arena,Real Sociedad,La Liga,Spain,1,San Sebastián,43.301378,-1.973617,40000,1991,,https://www.wikidata.org/wiki/Q917845
hoffenheim,PreZero Arena,Hoffenheim,Bundesliga,Germany,1,Sinsheim,49.239,8.888278,30150,2009,,https://www.wikidata.org/wiki/Q129870
midtjylland,MCH Arena,Midtjylland,Superliga,Denmark,1,Herning,56.11666667,8.95166667,11809,2004,,https://www.wikidata.org/wiki/Q1557426
olympiakos-piraeus,Karaiskakis Stadium,Olympiakos Piraeus,Super League Greece,Greece,1,Piraeus,37.946169,23.664536,33334,1896,,https://www.wikidata.org/wiki/Q213508
lille,Stade Pierre-Mauroy,Lille,Ligue 1,France,1,Villeneuve-d'Ascq,50.611962,3.130631,50000,2009,,https://www.wikidata.org/wiki/Q1410402
fenerbahce,Şükrü Saracoğlu Stadium,Fenerbahçe,Super Lig,Turkey,1,Istanbul,40.9875,29.036666666666665,50530,1908,,https://www.wikidata.org/wiki/Q222865
athletic-club,San Mamés,Athletic Club,La Liga,Spain,1,Bilbao,40.992841666667,-3.7085138888889,,,,https://www.wikidata.org/wiki/Q21003595
sporting-braga,Estádio Municipal de Braga,Sporting Braga,Primeira Liga,Portugal,1,Braga,41.5624,-8.4308,30286,2003,,https://www.wikidata.org/wiki/Q849239
